LGA,active-cases
Alpine  ,1
Ararat  ,5
Ballarat  ,66
Banyule  ,303
Bass Coast  ,16
Baw Baw  ,124
Bayside  ,153
Benalla  ,5
Boroondara  ,153
Brimbank  ,1278
Buloke  ,0
Campaspe  ,9
Cardinia  ,316
Casey  ,1544
Central Goldfields  ,0
Colac-Otway  ,29
Corangamite  ,1
Darebin  ,624
East Gippsland  ,2
Frankston  ,256
Gannawarra  ,1
Glen Eira  ,251
Glenelg  ,2
Golden Plains  ,5
Greater Bendigo  ,33
Greater Dandenong  ,811
Greater Geelong  ,139
Greater Shepparton  ,160
Hepburn  ,3
Hindmarsh  ,0
Hobsons Bay  ,320
Horsham  ,1
Hume  ,3168
Indigo  ,0
Kingston  ,285
Knox  ,278
Latrobe  ,134
Loddon  ,0
Macedon Ranges  ,53
Manningham  ,239
Mansfield  ,0
Maribyrnong  ,381
Maroondah  ,199
Melbourne  ,542
Melton  ,1202
Mildura  ,136
Mitchell  ,122
Moira  ,2
Monash  ,325
Moonee Valley  ,458
Moorabool  ,49
Moreland  ,1028
Mornington Peninsula  ,165
Mount Alexander  ,16
Moyne  ,6
Murrindindi  ,5
Nillumbik  ,86
Northern Grampians  ,0
Port Phillip  ,344
Pyrenees  ,4
Queenscliffe  ,0
South Gippsland  ,10
Southern Grampians  ,0
Stonnington  ,175
Strathbogie  ,7
Surf Coast  ,11
Swan Hill  ,10
Towong  ,0
Wangaratta  ,6
Warrnambool  ,15
Wellington  ,5
West Wimmera  ,0
Whitehorse  ,137
Whittlesea  ,1795
Wodonga  ,2
Wyndham  ,1268
Yarra  ,242
Yarra Ranges  ,169
Yarriambiack  ,1
