LGA,lga_pid,population,active-cases,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,1,2,7.8,0,1,Alpine,12/10/2021,13/10/2021
Ararat (RC),VIC220,11845,5,17,42.2,0,2,Ararat,12/10/2021,13/10/2021
Ballarat (C),VIC241,109505,66,144,60.3,9,3,Ballarat,12/10/2021,13/10/2021
Banyule (C),VIC188,131631,303,1017,230.2,22,5,Banyule,12/10/2021,13/10/2021
Bass Coast (S),VIC173,36320,16,30,44.1,2,2,Bass Coast,12/10/2021,13/10/2021
Baw Baw (S),VIC194,53396,124,152,232.2,19,5,Baw Baw,12/10/2021,13/10/2021
Bayside (C),VIC182,106862,153,480,143.2,18,4,Bayside,12/10/2021,13/10/2021
Benalla (RC),VIC199,14037,5,9,35.6,0,2,Benalla,12/10/2021,13/10/2021
Boroondara (C),VIC201,183199,153,522,83.5,16,3,Boroondara,12/10/2021,13/10/2021
Brimbank (C),VIC189,209523,1278,4117,610,119,6,Brimbank,12/10/2021,13/10/2021
Buloke (S),VIC183,6124,0,0,0,0,0,Buloke,12/10/2021,13/10/2021
Campaspe (S),VIC239,37622,9,21,23.9,1,2,Campaspe,12/10/2021,13/10/2021
Cardinia (S),VIC212,112159,316,709,281.7,40,5,Cardinia,12/10/2021,13/10/2021
Casey (C),VIC213,353872,1544,3099,436.3,133,5,Casey,12/10/2021,13/10/2021
Central Goldfields (S),VIC169,13186,0,2,0,0,0,Central Goldfields,12/10/2021,13/10/2021
Colac-Otway (S),VIC224,21564,29,168,134.5,0,4,Colac-Otway,12/10/2021,13/10/2021
Corangamite (S),VIC231,16020,1,10,6.2,0,1,Corangamite,12/10/2021,13/10/2021
Darebin (C),VIC205,164184,624,1846,380.1,29,5,Darebin,12/10/2021,13/10/2021
East Gippsland (S),VIC243,47316,2,12,4.2,0,1,East Gippsland,12/10/2021,13/10/2021
Frankston (C),VIC227,142643,256,572,179.5,31,4,Frankston,12/10/2021,13/10/2021
Gannawarra (S),VIC214,10472,1,9,9.5,0,1,Gannawarra,12/10/2021,13/10/2021
Glen Eira (C),VIC177,156511,251,598,160.4,17,4,Glen Eira,12/10/2021,13/10/2021
Glenelg (S),VIC223,19674,2,22,10.2,1,1,Glenelg,12/10/2021,13/10/2021
Golden Plains (S),VIC230,23722,5,23,21.1,1,2,Golden Plains,12/10/2021,13/10/2021
Greater Bendigo (C),VIC193,118093,33,140,27.9,2,2,Greater Bendigo,12/10/2021,13/10/2021
Greater Dandenong (C),VIC247,168201,811,1588,482.2,68,5,Greater Dandenong,12/10/2021,13/10/2021
Greater Geelong (C),VIC215,258934,139,586,53.7,16,3,Greater Geelong,12/10/2021,13/10/2021
Greater Shepparton (C),VIC93,66498,160,380,240.6,21,5,Greater Shepparton,12/10/2021,13/10/2021
Hepburn (S),VIC94,15975,3,8,18.8,0,1,Hepburn,12/10/2021,13/10/2021
Hindmarsh (S),VIC152,5588,0,0,0,0,0,Hindmarsh,12/10/2021,13/10/2021
Hobsons Bay (C),VIC235,97751,320,1488,327.4,14,5,Hobsons Bay,12/10/2021,13/10/2021
Horsham (RC),VIC153,19921,1,16,5,0,1,Horsham,12/10/2021,13/10/2021
Hume (C),VIC198,233471,3168,10072,1356.9,255,7,Hume,12/10/2021,13/10/2021
Indigo (S),VIC191,16701,0,2,0,0,0,Indigo,12/10/2021,13/10/2021
Interstate,,,9,123,0,1,0,,12/10/2021,13/10/2021
Kingston (C),VIC226,165782,285,683,171.9,19,4,Kingston,12/10/2021,13/10/2021
Knox (C),VIC209,164538,278,559,169,22,4,Knox,12/10/2021,13/10/2021
Latrobe (C),VIC219,75561,134,213,177.3,6,4,Latrobe,12/10/2021,13/10/2021
Loddon (S),VIC185,7504,0,4,0,0,0,Loddon,12/10/2021,13/10/2021
Macedon Ranges (S),VIC228,50231,53,144,105.5,3,4,Macedon Ranges,12/10/2021,13/10/2021
Manningham (C),VIC195,127573,239,533,187.3,8,4,Manningham,12/10/2021,13/10/2021
Mansfield (S),VIC244,9176,0,10,0,0,0,Mansfield,12/10/2021,13/10/2021
Maribyrnong (C),VIC234,93448,381,1169,407.7,21,5,Maribyrnong,12/10/2021,13/10/2021
Maroondah (C),VIC207,118558,199,394,167.9,13,4,Maroondah,12/10/2021,13/10/2021
Melbourne (C),VIC132,178955,542,1774,302.9,45,5,Melbourne,12/10/2021,13/10/2021
Melton (C),VIC237,164895,1202,3081,728.9,91,6,Melton,12/10/2021,13/10/2021
Mildura (RC),VIC222,55777,136,153,243.8,23,5,Mildura,12/10/2021,13/10/2021
Mitchell (S),VIC211,46082,122,318,264.7,6,5,Mitchell,12/10/2021,13/10/2021
Moira (S),VIC190,29925,2,11,6.7,0,1,Moira,12/10/2021,13/10/2021
Monash (C),VIC210,202847,325,800,160.2,19,4,Monash,12/10/2021,13/10/2021
Moonee Valley (C),VIC121,130294,458,1715,351.5,31,5,Moonee Valley,12/10/2021,13/10/2021
Moorabool (S),VIC236,35049,49,134,139.8,7,4,Moorabool,12/10/2021,13/10/2021
Moreland (C),VIC131,185767,1028,3712,553.4,70,6,Moreland,12/10/2021,13/10/2021
Mornington Peninsula (S),VIC204,167636,165,399,98.4,17,3,Mornington Peninsula,12/10/2021,13/10/2021
Mount Alexander (S),VIC105,19754,16,30,81,1,3,Mount Alexander,12/10/2021,13/10/2021
Moyne (S),VIC229,16953,6,8,35.4,1,2,Moyne,12/10/2021,13/10/2021
Murrindindi (S),VIC250,14570,5,19,34.3,0,2,Murrindindi,12/10/2021,13/10/2021
Nillumbik (S),VIC216,65094,86,272,132.1,8,4,Nillumbik,12/10/2021,13/10/2021
Northern Grampians (S),VIC166,11402,0,4,0,0,0,Northern Grampians,12/10/2021,13/10/2021
Overseas,,,1,8,0,1,0,,12/10/2021,13/10/2021
Overseas Traveller,,,1,240,0,0,0,,12/10/2021,13/10/2021
Port Phillip (C),VIC208,115601,344,870,297.6,35,5,Port Phillip,12/10/2021,13/10/2021
Pyrenees (S),VIC217,7472,4,7,53.5,0,3,Pyrenees,12/10/2021,13/10/2021
Queenscliffe (B),VIC238,2940,0,1,0,0,0,Queenscliffe,12/10/2021,13/10/2021
South Gippsland (S),VIC178,29914,10,31,33.4,0,2,South Gippsland,12/10/2021,13/10/2021
Southern Grampians (S),VIC233,16100,0,2,0,0,0,Southern Grampians,12/10/2021,13/10/2021
Stonnington (C),VIC203,117768,175,550,148.6,17,4,Stonnington,12/10/2021,13/10/2021
Strathbogie (S),VIC110,10781,7,10,64.9,0,3,Strathbogie,12/10/2021,13/10/2021
Surf Coast (S),VIC225,33456,11,30,32.9,1,2,Surf Coast,12/10/2021,13/10/2021
Swan Hill (RC),VIC180,20649,10,16,48.4,8,2,Swan Hill,12/10/2021,13/10/2021
Towong (S),VIC187,6040,0,0,0,0,0,Towong,12/10/2021,13/10/2021
Unknown,,,84,254,0,16,0,,12/10/2021,13/10/2021
Wangaratta (RC),VIC186,29187,6,11,20.6,1,2,Wangaratta,12/10/2021,13/10/2021
Warrnambool (C),VIC179,35181,15,34,42.6,0,2,Warrnambool,12/10/2021,13/10/2021
Wellington (S),VIC218,44380,5,26,11.3,0,1,Wellington,12/10/2021,13/10/2021
West Wimmera (S),VIC232,3841,0,1,0,0,0,West Wimmera,12/10/2021,13/10/2021
Whitehorse (C),VIC196,178739,137,408,76.6,11,3,Whitehorse,12/10/2021,13/10/2021
Whittlesea (C),VIC197,230238,1795,4543,779.6,107,6,Whittlesea,12/10/2021,13/10/2021
Wodonga (C),VIC192,42083,2,11,4.8,0,1,Wodonga,12/10/2021,13/10/2021
Wyndham (C),VIC221,270487,1268,4884,468.8,99,5,Wyndham,12/10/2021,13/10/2021
Yarra (C),VIC202,101495,242,915,238.4,19,5,Yarra,12/10/2021,13/10/2021
Yarra Ranges (S),VIC206,159462,169,489,106,11,4,Yarra Ranges,12/10/2021,13/10/2021
Yarriambiack (S),VIC200,6639,1,2,15.1,0,1,Yarriambiack,12/10/2021,13/10/2021
