"Local Government Area data:
Local Government areas range in population size between 100 to 1 million people. LGAs often have varying age and other demographic profiles affecting their coverage rates. LGA population estimates are taken from the latest ABS LGA by age release. 
Note on areas with large remote and very remote populations:
The  process of geocoding addresses in very remote areas and remote areas can lead to artificially low vaccine dose count records in those areas (as addresses cannot be ‘pinpointed’ to a specific client location, and therefore LGA). For vaccine rates relevant to these areas, please consult the weekly SA4 data release from Operation COVIDShield.  SA4 data is generally of larger population regions, so undercounting of doses has less impact on overall coverage rates. 
Methodology underpinning LGA Remoteness classification: 
LGA ‘remoteness’ is calculated by a assigning a modal remoteness value for each LGA, based on where the majority of the population in each LGA live - using 2016 Census meshblock population counts. Remote and Very Remote classifications accord with the same values if using the Modified Monash Model of remoteness.",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Data extracted from AIR - as at 2359hrs on 10 October 2021,,,,,
LGA 2019 Name of Residence,State of Residence,Remoteness,% Received dose 1,% Received dose 2,LGA Population
Albury (C),New South Wales,Inner Regional Australia,89.8%,61.4%," 43,782 "
Armidale Regional (A),New South Wales,Inner Regional Australia,83.8%,64.1%," 25,368 "
Ballina (A),New South Wales,Inner Regional Australia,90.3%,63.3%," 37,124 "
Balranald (A),New South Wales,Outer Regional Australia,82.5%,59.3%," 1,859 "
Bathurst Regional (A),New South Wales,Inner Regional Australia,91.7%,74.8%," 35,111 "
Bayside (A),New South Wales,Major Cities of Australia,87.5%,72.8%," 150,746 "
Bega Valley (A),New South Wales,Outer Regional Australia,>95%,74.2%," 28,912 "
Bellingen (A),New South Wales,Outer Regional Australia,88.0%,63.1%," 10,692 "
Berrigan (A),New South Wales,Inner Regional Australia,91.7%,71.6%," 7,307 "
Blacktown (C),New South Wales,Major Cities of Australia,>95%,83.0%," 289,214 "
Bland (A),New South Wales,Outer Regional Australia,89.8%,71.7%," 4,773 "
Blayney (A),New South Wales,Inner Regional Australia,>95%,76.0%," 5,867 "
Blue Mountains (C),New South Wales,Major Cities of Australia,94.3%,78.6%," 64,784 "
Bogan (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,035 "
Bourke (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,930 "
Brewarrina (A),New South Wales,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,231 "
Broken Hill (C),New South Wales,Outer Regional Australia,85.0%,71.4%," 14,532 "
Burwood (A),New South Wales,Major Cities of Australia,90.3%,75.3%," 35,639 "
Byron (A),New South Wales,Inner Regional Australia,75.7%,47.1%," 29,052 "
Cabonne (A),New South Wales,Inner Regional Australia,91.5%,75.1%," 10,765 "
Camden (A),New South Wales,Major Cities of Australia,>95%,89.1%," 76,539 "
Campbelltown (C) (NSW),New South Wales,Major Cities of Australia,>95%,80.8%," 133,449 "
Canada Bay (A),New South Wales,Major Cities of Australia,84.4%,74.5%," 80,727 "
Canterbury-Bankstown (A),New South Wales,Major Cities of Australia,89.9%,74.8%," 301,492 "
Carrathool (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,195 "
Central Coast (C) (NSW),New South Wales,Major Cities of Australia,93.0%,72.6%," 279,484 "
