LGA,% Dose 1,% Dose 2,active-cases,Population,active_cases_per_capita,active_cases_per_capita_norm
Alpine ,93.4,70.4,1,10732,9.317927692881103e-05,0.005317277790954645
Ararat ,89.0,64.1,5,9944,0.000502815768302494,0.028693194515549705
Ballarat ,92.2,63.5,66,88323,0.0007472572263170408,0.042642252489913914
Banyule ,89.2,66.1,303,107523,0.002818001729862448,0.16080933987626045
Bass Coast ,95.0,70.0,16,30332,0.0005274957140973229,0.030101556245562575
Baw Baw ,91.0,62.7,124,42887,0.0028913190477300814,0.16499319447182437
Bayside ,92.9,74.3,153,87219,0.001754204932411516,0.10010374876616751
Benalla ,95.0,69.4,5,11824,0.0004228687415426252,0.02413101541463348
Boroondara ,87.3,68.9,153,152935,0.0010004250171641547,0.0570892788677305
Brimbank ,82.8,50.2,1278,171362,0.007457896149671456,0.4255850321117125
Buloke ,95.0,76.4,0,5123,0.0,0.0
Campaspe ,95.0,67.6,9,30917,0.00029110198272794903,0.01661174199543058
Cardinia ,89.9,56.9,316,86129,0.0036689152318034575,0.20936674035223884
Casey ,88.9,54.2,1544,273232,0.005650875446506998,0.32246735005379673
Central Goldfields ,91.2,67.7,0,11110,0.0,0.0
Colac-Otway ,92.5,63.9,29,17696,0.0016387884267631103,0.09351750295678302
Corangamite ,95.0,68.9,1,13141,7.609770945894529e-05,0.004342517711934043
Darebin ,76.5,52.5,624,139021,0.004488530509779098,0.2561381068872743
East Gippsland ,92.8,69.3,2,39596,5.0510152540660675e-05,0.002882363130241704
Frankston ,85.1,57.0,256,115844,0.002209868443769207,0.12610619854844848
Gannawarra ,95.0,68.5,1,8756,0.00011420740063956144,0.006517248201521842
Glen Eira ,85.9,64.1,251,128766,0.0019492723234394173,0.11123527436111892
Glenelg ,92.3,66.5,2,16561,0.00012076565424793189,0.0068914951092959665
Golden Plains ,92.7,61.4,5,18450,0.00027100271002710027,0.015464776491199256
Greater Bendigo ,91.0,65.0,33,95200,0.0003466386554621849,0.019780943627450982
Greater Dandenong ,84.0,48.0,811,138053,0.005874555424366004,0.33523165363880525
Greater Geelong ,93.7,68.0,139,211830,0.000656186564698107,0.03744530288486527
Greater Shepparton ,92.8,61.0,160,52988,0.0030195515965879068,0.17231078811059183
Hepburn ,91.4,69.3,3,13467,0.00022276676319893073,0.012712190967370295
Hindmarsh ,91.6,64.8,0,4723,0.0,0.0
Hobsons Bay ,84.1,60.1,320,79604,0.004019898497562936,0.2293956092760173
Horsham ,93.2,65.0,1,16016,6.243756243756244e-05,0.0035630010772056226
Hume ,86.3,48.4,3168,180782,0.017523868526733856,1.0
Indigo ,95.0,68.8,0,13733,0.0,0.0
Kingston  ,86.9,62.0,285,136655,0.002085543887892869,0.11901161462785627
Knox ,88.8,60.7,278,135647,0.002049437141993557,0.11695118226132552
Latrobe  ,85.5,55.3,134,61811,0.0021678989176683763,0.12371120648166806
Loddon ,90.7,66.2,0,6339,0.0,0.0
Macedon Ranges ,95.0,74.3,53,39626,0.0013375056780901427,0.07632479529560991
Manningham ,89.6,63.6,239,106558,0.002242909964526361,0.1279917137648373
Mansfield ,93.6,66.0,0,7567,0.0,0.0
Maribyrnong ,78.7,55.8,381,79009,0.004822235441531977,0.2751809872446445
Maroondah ,88.2,61.6,199,96377,0.0020648079936084335,0.11782832029688126
Melbourne ,70.4,45.7,542,168298,0.003220477961710775,0.18377665621022643
Melton ,87.2,52.1,1202,124611,0.009646018409289709,0.5504502841124407
Mildura ,90.3,54.6,136,45044,0.003019270047065092,0.17229472147996258
Mitchell ,91.0,57.2,122,36387,0.0033528457965757,0.19133023004941546
