LG_PLY_PID,LGA_PID,DT_CREATE,LGA_NAME,LGA,STATE,% Dose 1,% Dose 2,active-cases,Population,active_cases_per_capita,active_cases_per_capita_norm,weighted_av_vax_cases
lgp53a7d39f20c0,lga136d886cbd2c,2021-08-10,Alpine Shire,Alpine,VIC,93.4,70.4,1,10732,9.317927692881104e-05,0.0053172777909546,-13.575423067038619
lgp74f72df1ae34,lga48c76dfa462e,2021-08-10,Ararat Rural City,Ararat,VIC,89.0,64.1,5,9944,0.0005028157683024,0.0286931945155497,-9.970621792029089
lgpc0d781eff58c,lgab70a9914e5bc,2021-08-10,Ballarat City,Ballarat,VIC,92.2,63.5,66,88323,0.000747257226317,0.0426422524899139,-8.452680111231071
lgp6101d04db92e,lga5591321694d6,2021-08-10,Banyule City,Banyule,VIC,89.2,66.1,303,107523,0.0028180017298624,0.1608093398762604,2.866667322270582
lgp2e7abb112394,lgaac2e88625ea2,2021-08-10,Bass Coast Shire,Bass Coast,VIC,95.0,70.0,16,30332,0.0005274957140973,0.0301015562455625,-11.011868111667084
lgp2edf7f994389,lgaac2e88625ea2,2021-08-10,Bass Coast Shire,Bass Coast,VIC,95.0,70.0,16,30332,0.0005274957140973,0.0301015562455625,-11.011868111667084
lgp462f482c4ba8,lgaac2e88625ea2,2021-08-10,Bass Coast Shire,Bass Coast,VIC,95.0,70.0,16,30332,0.0005274957140973,0.0301015562455625,-11.011868111667084
lgp8755c0326313,lga77d96c3addfd,2021-08-10,Baw Baw Shire,Baw Baw,VIC,91.0,62.7,124,42887,0.00289131904773,0.1649931944718243,3.9672539550926174
lgp8143e9283b5b,lga53f7b61b0ed6,2021-08-10,Bayside City,Bayside,VIC,92.9,74.3,153,87219,0.0017542049324115,0.1001037487661675,-4.85934381100526
lgp52669f70ee10,lga6f3147bcaaee,2021-08-10,Benalla Rural City,Benalla,VIC,95.0,69.4,5,11824,0.0004228687415426,0.0241310154146334,-11.489878214966595
lgp1af3ace8795e,lga0930e8ebad68,2021-08-10,Boroondara City,Boroondara,VIC,87.3,68.9,153,152935,0.0010004250171641,0.0570892788677305,-8.08724660643983
lgpb372a8678681,lgaf76bb579e827,2021-08-10,Brimbank City,Brimbank,VIC,82.8,50.2,1278,171362,0.0074578961496714,0.4255850321117125,32.583670552275805
lgp4dfdaa5cf8ef,lga0ddc15fef4c5,2021-08-10,Buloke Shire,Buloke,VIC,95.0,76.4,0,5123,0.0,0.0,-15.31062124248497
lgp4ed3d90b1fa9,lgaf4d7671cd990,2021-08-10,Campaspe Shire,Campaspe,VIC,95.0,67.6,9,30917,0.0002911019827279,0.0166117419954305,-11.882590982421792
lgp9edd877311df,lgac69cfd288672,2021-08-10,Cardinia Shire,Cardinia,VIC,89.9,56.9,316,86129,0.0036689152318034,0.2093667403522388,9.575825686597074
lgpbe88b8d20f1e,lga891e1f62b45e,2021-08-10,Casey City,Casey,VIC,88.9,54.2,1544,273232,0.0056508754465069,0.3224673500537967,21.449634273927522
lgp29a1f59713e5,lga98337d58aaa4,2021-08-10,Central Goldfields Shire,Central Goldfields,VIC,91.2,67.7,0,11110,0.0,0.0,-13.567134268537076
lgp50422acbeab0,lgaa40be6b352b7,2021-08-10,Colac Otway Shire,Colac Otway,VIC,92.5,63.9,29,17696,0.0016387884267631,0.093517502956783,-3.4351199442101197
lgpb4369c4d469f,lgaedbf8eb2d054,2021-08-10,Corangamite Shire,Corangamite,VIC,95.0,68.9,1,13141,7.609770945894529e-05,0.004342517711934,-13.372493215237075
lgp1c382fca8424,lga5bfafb32b8d5,2021-08-10,Darebin City,Darebin,VIC,76.5,52.5,624,139021,0.004488530509779,0.2561381068872743,15.144098886500426
lgp790e061c148b,lga72904b64c519,2021-08-10,East Gippsland Shire,East Gippsland,VIC,92.8,69.3,2,39596,5.051015254066068e-05,0.0028823631302417,-13.59896161019622
lgp986e738a981d,lgadd7fe82edc77,2021-08-10,Frankston City,Frankston,VIC,85.1,57.0,256,115844,0.0022098684437692,0.1261061985484484,1.213045946738317
lgp8c922b4d7b47,lga292a6552ec8c,2021-08-10,Gannawarra Shire,Gannawarra,VIC,95.0,68.5,1,8756,0.0001142074006395,0.0065172482015218,-13.074424027903628
lgp1ca06f28e6d1,lga9bd137c30d17,2021-08-10,Glen Eira City,Glen Eira,VIC,85.9,64.1,251,128766,0.0019492723234394,0.1112352743611189,-1.6998723085051195
lgp9726c3bb941b,lga26260a89bb1b,2021-08-10,Glenelg Shire,Glenelg,VIC,92.3,66.5,2,16561,0.0001207656542479,0.0068914951092959,-12.63612273453949
lgp29f95e873275,lgaca1dd9cec0f0,2021-08-10,Golden Plains Shire,Golden Plains,VIC,92.7,61.4,5,18450,0.0002710027100271,0.0154647764911992,-10.755032415711502
lgpf8d8d399b294,lga575ae7e97596,2021-08-10,Greater Bendigo City,Greater Bendigo,VIC,91.0,65.0,33,95200,0.0003466386554621,0.0197809436274509,-11.04399362450392
lgpb0a37375319f,lgab65bc8ec7820,2021-08-10,Greater Dandenong City,Greater Dandenong,VIC,84.0,48.0,811,138053,0.005874555424366,0.3352316536388052,23.9711075790386
lgp97ca1308a23c,lga227fb535494c,2021-08-10,Greater Geelong City,Greater Geelong,VIC,93.7,68.0,139,211830,0.0006561865646981,0.0374453028848652,-9.875220151817114
lgp6adc72b06447,lga1a793093877f,2021-08-10,Greater Shepparton City,Greater Shepparton,VIC,92.8,61.0,160,52988,0.0030195515965879,0.1723107881105918,5.041161133325832
lgp0730eadaaf59,lga90413c6e7ea0,2021-08-10,Hepburn Shire,Hepburn,VIC,91.4,69.3,3,13467,0.0002227667631989,0.0127121909673702,-12.614008921105189
lgp824bc82be74c,lga1aae6e9a27ff,2021-08-10,Hindmarsh Shire,Hindmarsh,VIC,91.6,64.8,0,4723,0.0,0.0,-12.985971943887776
lgpdfe78c23944f,lga224186279c28,2021-08-10,Hobsons Bay City,Hobsons Bay,VIC,84.1,60.1,320,79604,0.0040198984975629,0.2293956092760173,10.941443815232194
lgpbd7fcfec4838,lgaa9c96a55e122,2021-08-10,Horsham Rural City,Horsham,VIC,93.2,65.0,1,16016,6.243756243756244e-05,0.0035630010772056,-12.669037968215871
lgp021d8514c900,lga3476c1d9fd7f,2021-08-10,Hume City,Hume,VIC,86.3,48.4,3168,180782,0.0175238685267338,1.0,90.50100200400803
lgp5175b17945be,lga5c6d68bc8aa6,2021-08-10,Indigo Shire,Indigo,VIC,95.0,68.8,0,13733,0.0,0.0,-13.7875751503006
lgpa4db051da140,lga691f580f3258,2021-08-10,Kingston City,Kingston,VIC,86.9,62.0,285,136655,0.0020855438878928,0.1190116146278562,-0.49983821364166287
lgp7f361f836487,lgaacfaedf6a58f,2021-08-10,Knox City,Knox,VIC,88.8,60.7,278,135647,0.0020494371419935,0.1169511822613255,-0.4457733205084676
lgpadedda9abfb0,lga5e8f0b6a35b1,2021-08-10,Latrobe City,Latrobe,VIC,85.5,55.3,134,61811,0.0021678989176683,0.123711206481668,1.313748144455712
lgp8a42bb7023a6,lga0061bf039442,2021-08-10,Loddon Shire,Loddon,VIC,90.7,66.2,0,6339,0.0,0.0,-13.266533066132267
lgp918e89c88642,lgaa61a81fb4118,2021-08-10,Macedon Ranges Shire,Macedon Ranges,VIC,95.0,74.3,53,39626,0.0013375056780901,0.0763247952956099,-7.242004479397806
lgp64ab3f8eddcf,lgab3be0b9eb31a,2021-08-10,Manningham City,Manningham,VIC,89.6,63.6,239,106558,0.0022429099645263,0.1279917137648373,0.07933003655684483
lgp2c11b6912b58,lga744d9df35829,2021-08-10,Mansfield Shire,Mansfield,VIC,93.6,66.0,0,7567,0.0,0.0,-13.226452905811623
lgpf72af2a6675b,lga2513fbdd7033,2021-08-10,Maribyrnong City,Maribyrnong,VIC,78.7,55.8,381,79009,0.0048222354415319,0.2751809872446445,16.390880485435325
lgpd762a05c5291,lgafa7d75c94e0c,2021-08-10,Maroondah City,Maroondah,VIC,88.2,61.6,199,96377,0.0020648079936084,0.1178283202968812,-0.5382444592303408
lgpcd3ab6014bb0,lgadd6ba71d5cd0,2021-08-10,Melbourne City,Melbourne,VIC,70.4,45.7,542,168298,0.0032204779617107,0.1837766562102264,9.256177976976593
lgp2327422500c6,lga42b2fd54c1e9,2021-08-10,Melton City,Melton,VIC,87.2,52.1,1202,124611,0.0096460184092897,0.5504502841124407,44.714457325895864
lgp289b7d046b8d,lgaee4000c6a5c1,2021-08-10,Mildura Rural City,Mildura,VIC,90.3,54.6,136,45044,0.003019270047065,0.1722947214799625,6.322116380757765
lgp7c5cd1266c75,lgaae260494d80c,2021-08-10,Mitchell Shire,Mitchell,VIC,91.0,57.2,122,36387,0.0033528457965757,0.1913302300494154,7.708439884710962
lgp4cc0432bc587,lga4e7c0f04e5f4,2021-08-10,Moira Shire,Moira,VIC,95.0,65.9,2,24759,8.077870673290521e-05,0.0046096389395795,-12.744525156354761
lgp000398fbfab7,lga15c9c80d4be7,2021-08-10,Monash City,Monash,VIC,83.7,57.7,325,171519,0.0018948338084993,0.108128739131354,-0.7285832533713437
lgpcace391ea643,lga638d2708b9ab,2021-08-10,Moonee Valley City,Moonee Valley,VIC,84.0,60.9,458,108789,0.0042099844653411,0.2402428698274326,11.868023028800861
lgp631eb52364ca,lga4eb6e129e4f4,2021-08-10,Moorabool Shire,Moorabool,VIC,93.2,62.2,49,27901,0.0017562094548582,0.1002181368902095,-2.423032375730511
lgp1df6199c22f0,lgae03ddc9e8dd7,2021-08-10,Moreland City,Moreland,VIC,78.0,53.9,1028,156305,0.0065768849365023,0.3753101049844596,26.804619737921804
lgp255a444dd037,lga69684c885dd2,2021-08-10,Mornington Peninsula Shire,Mornington Peninsula,VIC,92.2,68.5,165,138719,0.0011894549412841,0.0678762762611226,-6.92622482353481
lgp8a2c52581ef3,lga0eac1885ea16,2021-08-10,Mount Alexander Shire,Mount Alexander,VIC,92.4,70.4,16,16789,0.0009530049437131,0.054383251178772,-8.658992867858519
lgp2f16b6c74b47,lga9651f4cc7895,2021-08-10,Moyne Shire,Moyne,VIC,94.6,70.2,6,13498,0.0004445102978218,0.0253659913702142,-11.52645377051962
lgp4134ca10f36c,lgaa2fb93819c9e,2021-08-10,Murrindindi Shire,Murrindindi,VIC,88.9,62.6,5,12242,0.0004084299950988,0.023307067984204,-10.209712626833268
lgpb1cd9c681407,lgaa2fb93819c9e,2021-08-10,Murrindindi Shire,Murrindindi,VIC,88.9,62.6,5,12242,0.0004084299950988,0.023307067984204,-10.209712626833268
lgp79dbcbb4e6d3,lga977c9605ab7d,2021-08-10,Nillumbik Shire,Nillumbik,VIC,95.0,70.7,86,52476,0.0016388444241176,0.0935206984472362,-4.797525205687756
lgpfdae62a2c607,lga8751f70e5df3,2021-08-10,Northern Grampians Shire,Northern Grampians,VIC,94.0,67.9,0,9646,0.0,0.0,-13.607214428857716
lgp1f1a7cc8b510,lgad68479123642,2021-08-10,Port Phillip City,Port Phillip,VIC,76.4,58.5,344,102175,0.0033667726939075,0.1921249687973446,7.527551983701864
lgp800c9dce155e,lgafaedbfa774eb,2021-08-10,Pyrenees Shire,Pyrenees,VIC,89.5,63.1,4,6297,0.0006352231221216,0.0362490235048596,-9.013123897308658
lgp44fbf9b1a834,lgad4e3c91c7130,2021-08-10,Queenscliffe Borough,Queenscliffe,VIC,95.0,92.5,0,2610,0.0,0.0,-18.537074148296593
lgp2f87139d5995,lga5c66b4f8531c,2021-08-10,South Gippsland Shire,South Gippsland,VIC,91.8,66.2,10,24475,0.000408580183861,0.023315638509714,-10.930296742513628
lgp83574ec8e971,lga1a08aa92f8c2,2021-08-10,Southern Grampians Shire,Southern Grampians,VIC,95.0,71.9,0,13285,0.0,0.0,-14.408817635270543
lgp5a7fb46e080d,lgae1dcbacb8510,2021-08-10,Stonnington City,Stonnington,VIC,79.0,61.3,175,103900,0.001684311838306,0.0961152975860627,-2.653777796987705
lgpa034d9b2068d,lga7831afcaf1e2,2021-08-10,Strathbogie Shire,Strathbogie,VIC,94.1,70.0,7,9174,0.000763025942882,0.0435420946988965,-9.665120771653656
lgpa3f62c7eec1e,lgaeb9321b0357b,2021-08-10,Surf Coast Shire,Surf Coast,VIC,95.0,78.7,11,26584,0.000413782726452,0.0236125217340422,-13.405558944484753
lgp11678c3b25e8,lga2f887f3655b9,2021-08-10,Swan Hill Rural City,Swan Hill,VIC,95.0,67.0,10,16639,0.0006009976561091,0.0342959464225766,-9.990386130002344
lgp72b982dd0cf9,lga6ede3850c9ef,2021-08-10,Towong Shire,Towong,VIC,93.7,69.1,0,5068,0.0,0.0,-13.847695390781562
lgpc8845020e37c,lgabff52ad8fdf9,2021-08-10,Wangaratta Rural City,Wangaratta,VIC,95.0,67.6,6,23818,0.0002519103199261,0.0143752687679549,-12.106686496196902
lgpf61c34e3e548,lgada11866a4071,2021-08-10,Warrnambool City,Warrnambool,VIC,95.0,73.5,15,28859,0.000519768529748,0.0296606042755424,-11.757454481408578
lgp35502751f3e3,lga4d167b5c075b,2021-08-10,Wellington Shire,Wellington,VIC,89.6,65.4,5,36486,0.0001370388642218,0.0078201262473997,-12.322632640541114
lgp5f955f732579,lga82035025d67f,2021-08-10,West Wimmera Shire,West Wimmera,VIC,91.3,67.3,0,3178,0.0,0.0,-13.486973947895791
lgpd2f35449f6a8,lga0450031d71ce,2021-08-10,Whitehorse City,Whitehorse,VIC,87.2,61.9,137,149611,0.0009157080695938,0.0522549041153121,-7.16884728303486
lgpa0e2e157e4b2,lgaa0f71a56be3f,2021-08-10,Whittlesea City,Whittlesea,VIC,83.3,49.9,1795,180925,0.0099212380820782,0.5661557016901082,46.72902822546175
lgp420b9628cfd2,lga79b8fe15ee4f,2021-08-10,Wodonga City,Wodonga,VIC,89.8,63.1,2,33295,6.006907944135756e-05,0.003427843535217,-12.301819285048397
lgp2359c108168f,lga53026dafea91,2021-08-10,Wyndham City,Wyndham,VIC,94.2,58.1,1268,201181,0.0063027820718656,0.3596684180921758,24.395633075368316
lgpfe9dff07c36a,lgadbd419ff24e3,2021-08-10,Yarra Ranges Shire,Yarra Ranges,VIC,74.0,57.1,242,90535,0.0026729993925001,0.152534777833005,3.841160103507514
lgpfe9dff07c36a,lgadbd419ff24e3,2021-08-10,Yarra Ranges Shire,Yarra Ranges,VIC,87.8,58.0,169,129169,0.0013083634618213,0.0746617939883158,-4.142104810790001
lgp2477b626076e,lga28e3b9095cd3,2021-08-10,Yarriambiack Shire,Yarriambiack,VIC,93.2,71.8,1,5517,0.0001812579300344,0.0103434883546357,-13.352355876289007
